game_id,date,league_name,series_name,tournament_name,player_name,team_name,team_acronym,role,champion_name,primary_tag,tags,win,game_length,player_kills,player_deaths,player_assists,total_minions_killed,gold_earned,total_damage_dealt_to_champions,team_kills,kda,cs_per_min,dmg_per_min,gold_per_min,kp,performance_index
30348,2024-01-20 08:32:12.270216,LCK,LCK Spring 2024,Regular Season,Chovy,Gen.G,GEN,Mid,Taliyah,Mage,"Mage, Support",True,1567,1,1,11,265,11848,23308,16,12.0,10.146777281429483,892.4569240587109,453.6566687938736,0.75,0.708361304797695
30349,2024-01-20 09:18:43.776660,LCK,LCK Spring 2024,Regular Season,Chovy,Gen.G,GEN,Mid,Taliyah,Mage,"Mage, Support",True,1387,4,0,5,244,11160,15569,17,9.0,10.555155010814708,673.4967555875991,482.7685652487383,0.5294117647058824,0.39515647935598036
30999,2024-01-20 18:01:31.526382,LEC,LEC Winter 2024,Regular Season,Caps,G2 Esports,G2,Mid,Azir,Mage,"Mage, Marksman",True,1883,4,1,6,300,14091,19456,15,10.0,9.559214020180564,619.9468932554435,448.996282527881,0.6666666666666666,0.26196295396766783
30352,2024-01-21 08:43:04.938988,LCK,LCK Spring 2024,Regular Season,Bdd,KT Rolster,KT,Mid,Tristana,Marksman,"Marksman, Assassin",False,1544,0,3,3,240,9630,8570,3,1.0,9.32642487046632,333.03108808290153,374.2227979274611,1.0,-0.5476096440735757
30352,2024-01-21 08:43:04.938988,LCK,LCK Spring 2024,Regular Season,ShowMaker,Dplus KIA,DK,Mid,Syndra,Mage,"Mage, Support",True,1544,6,1,4,218,11231,14690,11,10.0,8.471502590673575,570.8549222797927,436.4378238341969,0.9090909090909091,0.2395726245899923
30353,2024-01-21 09:30:20.970543,LCK,LCK Spring 2024,Regular Season,Bdd,KT Rolster,KT,Mid,Azir,Mage,"Mage, Marksman",True,2700,6,3,5,409,19977,27897,14,3.6666666666666665,9.088888888888889,619.9333333333333,443.93333333333334,0.7857142857142857,0.06972719647856469
30353,2024-01-21 09:30:20.970543,LCK,LCK Spring 2024,Regular Season,ShowMaker,Dplus KIA,DK,Mid,Akali,Assassin,Assassin,False,2700,5,3,6,395,19028,10154,17,3.6666666666666665,8.777777777777779,225.64444444444445,422.84444444444443,0.6470588235294118,-0.8038479168581681
30354,2024-01-21 10:40:57.205659,LCK,LCK Spring 2024,Regular Season,Bdd,KT Rolster,KT,Mid,Syndra,Mage,"Mage, Support",True,2350,3,2,9,336,14976,20928,13,6.0,8.578723404255319,534.3319148936171,382.3659574468085,0.9230769230769231,-0.04504181323686348
30354,2024-01-21 10:40:57.205659,LCK,LCK Spring 2024,Regular Season,ShowMaker,Dplus KIA,DK,Mid,Orianna,Mage,"Mage, Support",False,2350,2,2,3,334,14682,18470,5,2.5,8.527659574468085,471.5744680851064,374.85957446808516,1.0,-0.5194826649986457
31010,2024-01-21 17:52:38.309208,LEC,LEC Winter 2024,Regular Season,Caps,G2 Esports,G2,Mid,Tristana,Marksman,"Marksman, Assassin",True,1699,1,2,6,242,11561,13072,16,3.5,8.546203649205415,461.6362566215421,408.27545615067686,0.4375,-0.552574826454988
31246,2024-01-22 09:18:10.252570,LPL,LPL Spring 2024,Regular Season,knight,Bilibili Gaming,BLG,Mid,LeBlanc,Assassin,"Assassin, Mage",True,1623,4,0,6,247,13156,26195,17,10.0,9.131238447319777,968.3918669131239,486.358595194085,0.5882352941176471,0.484439168144353
31247,2024-01-22 10:11:27.464682,LPL,LPL Spring 2024,Regular Season,knight,Bilibili Gaming,BLG,Mid,Orianna,Mage,"Mage, Support",False,1834,3,3,2,266,11973,24709,6,1.6666666666666667,8.702290076335878,808.3642311886587,391.701199563795,0.8333333333333334,-0.3771879010559742
31248,2024-01-22 11:00:05.707431,LPL,LPL Spring 2024,Regular Season,knight,Bilibili Gaming,BLG,Mid,LeBlanc,Assassin,"Assassin, Mage",True,1649,6,1,4,247,12034,22415,19,10.0,8.987265009096422,815.5852031534263,437.86537295330504,0.5263157894736842,0.1566749925800928
31003,2024-01-22 18:39:28.704425,LEC,LEC Winter 2024,Regular Season,Caps,G2 Esports,G2,Mid,Tristana,Marksman,"Marksman, Assassin",False,1913,2,3,0,302,13217,11976,2,0.6666666666666666,9.472033455305803,375.61944589649767,414.54260324098277,1.0,-0.3904138986327185
30357,2024-01-24 10:31:03.483740,LCK,LCK Spring 2024,Regular Season,Bdd,KT Rolster,KT,Mid,Orianna,Mage,"Mage, Support",True,2428,10,3,10,379,18499,31499,24,6.666666666666667,9.365733113673805,778.3937397034596,457.14168039538714,0.8333333333333334,0.4096854196340636
30358,2024-01-24 11:35:57.501765,LCK,LCK Spring 2024,Regular Season,Bdd,KT Rolster,KT,Mid,Orianna,Mage,"Mage, Support",False,1878,2,5,6,249,10542,9746,11,1.6,7.955271565495208,311.3738019169329,336.80511182108626,0.7272727272727273,-1.1108774802948438
30359,2024-01-24 12:28:26.206265,LCK,LCK Spring 2024,Regular Season,Bdd,KT Rolster,KT,Mid,Azir,Mage,"Mage, Marksman",False,2078,2,4,7,320,13752,15248,10,2.25,9.239653512993263,440.269489894129,397.0741097208855,0.9,-0.4666709262331687
