target,target_label,model,n_samples,positive_rate,cv_accuracy_mean,cv_accuracy_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std
stable_match,Post-patch stability,random_forest,282,0.5567375886524822,0.6239974937343359,0.07483217824177589,0.6123508064516129,0.07803018189906283,0.678955826707391,0.05896721096414649,0.6394032258064517,0.04533762664960003
stable_match,Post-patch stability,logistic_regression,282,0.5567375886524822,0.57468671679198,0.07589698079482982,0.5716975806451613,0.06986157759035441,0.6029879527384091,0.1005121739383362,0.622774193548387,0.05303402889281124
high_performance_match,High-performance post-patch match,logistic_regression,282,0.5,0.681015037593985,0.05685150298253484,0.6807881773399016,0.05636117078261155,0.667852757264522,0.05194523806526024,0.7042487684729064,0.02710817796270169
high_performance_match,High-performance post-patch match,random_forest,282,0.5,0.6380325814536342,0.038939779535020376,0.6374384236453201,0.03833077383090085,0.6342010170373605,0.04322515301458532,0.6739883884588318,0.05197223003984651
