mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__penalty,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_train_balanced_accuracy,split1_train_balanced_accuracy,split2_train_balanced_accuracy,split3_train_balanced_accuracy,split4_train_balanced_accuracy,mean_train_balanced_accuracy,std_train_balanced_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,target,target_label,model,model_label,param_json,param_model__max_depth,param_model__min_samples_leaf,param_model__n_estimators
0.00736546516418457,0.0004989067454531784,0.010074615478515625,0.0003119141985194866,0.01,l1,"{'model__C': 0.01, 'model__penalty': 'l1'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,10,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.525,0.525,0.5128205128205128,0.5128205128205128,0.5128205128205128,0.5176923076923077,0.005966705783702647,10,0.5159235668789809,0.5159235668789809,0.5189873417721519,0.5189873417721519,0.5189873417721519,0.5177618318148836,0.0015009370350037988,0.5,0.5,0.5,0.5,0.5,0.5,0.0,10,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable_match,Post-patch stability,logistic_regression,Logistic Regression,"{""model__C"": 0.01, ""model__penalty"": ""l1""}",,,
0.007035112380981446,0.00023843100515409077,0.009900236129760742,0.0005106394025024606,0.01,l2,"{'model__C': 0.01, 'model__penalty': 'l2'}",0.6090225563909775,0.5213032581453634,0.5236842105263158,0.6236842105263158,0.6421052631578947,0.5839598997493735,0.051275831263773865,2,0.7012670565302144,0.7035412605588044,0.7238446726572529,0.6909499358151476,0.7084403080872913,0.7056086467297421,0.010757065068044868,0.55,0.525,0.5384615384615384,0.5641025641025641,0.6410256410256411,0.5637179487179487,0.04074745427122779,3,0.643312101910828,0.6242038216560509,0.6582278481012658,0.6392405063291139,0.6392405063291139,0.6408449568652744,0.01086579602694376,0.5538847117794485,0.5300751879699248,0.5368421052631579,0.5657894736842105,0.6394736842105263,0.5652130325814536,0.03919919682278337,3,0.6441682910981157,0.6240253411306043,0.6577342747111682,0.6384788189987163,0.641367137355584,0.6411547726588377,0.010812811224867273,0.5714285714285714,0.5581395348837209,0.5,0.5853658536585366,0.6111111111111112,0.565209014216388,0.037024793424549535,3,0.6455696202531646,0.6143790849673203,0.6447368421052632,0.6225165562913907,0.6503067484662577,0.6355017704166792,0.014287191123128118,stable_match,Post-patch stability,logistic_regression,Logistic Regression,"{""model__C"": 0.01, ""model__penalty"": ""l2""}",,,
0.007116937637329101,0.0001335586406449445,0.009811782836914062,0.00019075152801192058,0.1,l1,"{'model__C': 0.1, 'model__penalty': 'l1'}",0.6666666666666667,0.6365914786967418,0.5210526315789474,0.6421052631578947,0.5368421052631579,0.6006516290726818,0.0596250240909163,1,0.6744639376218323,0.6786874593892138,0.7122913992297818,0.6691270860077021,0.6702503209242618,0.6809640406345583,0.016023325764431516,0.625,0.6,0.5384615384615384,0.6153846153846154,0.5128205128205128,0.5783333333333334,0.04450103235141722,1,0.6242038216560509,0.6178343949044586,0.6392405063291139,0.6139240506329114,0.6265822784810127,0.6243570104007095,0.008693502151606818,0.6303258145363408,0.5989974937343359,0.5381578947368422,0.6171052631578948,0.5157894736842106,0.5800751879699249,0.045042464691441325,1,0.6268680961663418,0.6186647173489279,0.6384788189987163,0.6131258023106547,0.6344672657252888,0.6263209401099858,0.009457329732687376,0.6511627906976745,0.5789473684210527,0.5263157894736842,0.6341463414634146,0.5581395348837209,0.5897423649879094,0.04665272365926851,1,0.6467065868263473,0.620253164556962,0.6225165562913907,0.5960264900662252,0.6844919786096256,0.6339989552701102,0.029912304050441683,stable_match,Post-patch stability,logistic_regression,Logistic Regression,"{""model__C"": 0.1, ""model__penalty"": ""l1""}",,,
0.0070439338684082035,8.263528793924451e-05,0.009865236282348634,0.00013593291802766803,0.1,l2,"{'model__C': 0.1, 'model__penalty': 'l2'}",0.5789473684210527,0.568922305764411,0.5105263157894737,0.6342105263157894,0.5657894736842105,0.5716791979949875,0.0393572296590491,6,0.7538986354775828,0.7555230669265757,0.7660462130937098,0.767971758664955,0.7992618741976893,0.7685403096721026,0.01633514938287562,0.55,0.525,0.5384615384615384,0.6410256410256411,0.6153846153846154,0.573974358974359,0.045705802490800605,2,0.6878980891719745,0.6751592356687898,0.689873417721519,0.7025316455696202,0.6962025316455697,0.6903329839554946,0.009161238847017462,0.5538847117794485,0.5275689223057645,0.5407894736842105,0.6434210526315789,0.6131578947368421,0.5757644110275689,0.044722402421030025,2,0.6894087069525665,0.6758447043534763,0.691591784338896,0.701379974326059,0.6991335044929397,0.6914717348927876,0.00900389362110704,0.5714285714285714,0.5365853658536586,0.5714285714285714,0.6666666666666666,0.5714285714285714,0.5835075493612079,0.04371460904510193,2,0.6956521739130435,0.6751592356687898,0.6956521739130435,0.6845637583892618,0.7108433734939759,0.6923741430756228,0.011999654916397866,stable_match,Post-patch stability,logistic_regression,Logistic Regression,"{""model__C"": 0.1, ""model__penalty"": ""l2""}",,,
0.00736079216003418,0.00022049512204264167,0.009679603576660156,0.0001455431210428624,1.0,l1,"{'model__C': 1, 'model__penalty': 'l1'}",0.5864661654135339,0.5614035087719298,0.5657894736842106,0.631578947368421,0.5605263157894737,0.5811528822055138,0.026916709831587195,3,0.7714424951267056,0.787524366471735,0.7739088575096277,0.7928433889602055,0.8348844672657253,0.7921207150667998,0.022845777358926993,0.575,0.45,0.5384615384615384,0.6153846153846154,0.5128205128205128,0.5383333333333333,0.056098204490059644,5,0.6878980891719745,0.7197452229299363,0.7151898734177216,0.7341772151898734,0.7468354430379747,0.7207691687494961,0.019859059588318014,0.5827067669172932,0.45363408521303256,0.5394736842105263,0.6144736842105263,0.5118421052631579,0.5404260651629073,0.055895447406945464,5,0.690220922677063,0.720679012345679,0.7169448010269577,0.7328305519897305,0.7488767650834403,0.7219104106245741,0.019374369806571076,0.6222222222222222,0.47619047619047616,0.55,0.5945945945945946,0.4864864864864865,0.5458987558987559,0.05762367297856373,4,0.703030303030303,0.7215189873417721,0.7204968944099379,0.7162162162162162,0.7530864197530864,0.722869764150263,0.016482568381484788,stable_match,Post-patch stability,logistic_regression,Logistic Regression,"{""model__C"": 1, ""model__penalty"": ""l1""}",,,
0.007368230819702148,0.0001417663896664265,0.009860372543334961,0.00022892224431967007,1.0,l2,"{'model__C': 1, 'model__penalty': 'l2'}",0.6115288220551378,0.5789473684210527,0.5631578947368421,0.5684210526315789,0.5394736842105263,0.5723057644110275,0.02349161190832418,5,0.8133528265107213,0.8291098115659519,0.8169127086007703,0.832798459563543,0.8730744544287548,0.8330496521339482,0.02128819450480379,0.525,0.55,0.5128205128205128,0.48717948717948717,0.5641025641025641,0.5278205128205128,0.027177068107151,9,0.7133757961783439,0.7452229299363057,0.7468354430379747,0.7784810126582279,0.810126582278481,0.7588083528178666,0.032901689033964635,0.525062656641604,0.5513784461152882,0.5144736842105263,0.4881578947368421,0.5631578947368421,0.5284461152882205,0.026685639462012568,9,0.7136939571150098,0.746588693957115,0.748395378690629,0.7788831835686778,0.8117779204107831,0.7598678267484431,0.03315484968473849,0.5128205128205128,0.55,0.5365853658536586,0.5,0.5405405405405406,0.5279892838429424,0.018597795142124864,5,0.7096774193548387,0.75,0.75,0.7741935483870968,0.8125,0.7592741935483872,0.03372665107472012,stable_match,Post-patch stability,logistic_regression,Logistic Regression,"{""model__C"": 1, ""model__penalty"": ""l2""}",,,
0.02486252784729004,0.006967034585244891,0.010211372375488281,0.0005480425065507925,10.0,l1,"{'model__C': 10, 'model__penalty': 'l1'}",0.5588972431077694,0.6842105263157895,0.6342105263157894,0.4947368421052632,0.5289473684210526,0.5802005012531328,0.06945490276209068,4,0.8624106562703053,0.8804418453541261,0.8528562259306803,0.8844672657252889,0.9136713735558408,0.8787694733672483,0.020940446948966223,0.475,0.725,0.5641025641025641,0.41025641025641024,0.5384615384615384,0.5425641025641025,0.1056729165207247,4,0.7770700636942676,0.8152866242038217,0.7721518987341772,0.7974683544303798,0.8227848101265823,0.7969523502378457,0.020070354053061075,0.474937343358396,0.7280701754385965,0.5644736842105263,0.4105263157894737,0.5355263157894736,0.5427067669172932,0.1067233031866463,4,0.7782651072124755,0.8165204678362573,0.7723042362002568,0.7976572528883183,0.8244544287548139,0.7978402985784244,0.020457628176633498,0.46153846153846156,0.7317073170731707,0.5641025641025641,0.41025641025641024,0.47058823529411764,0.5276385976529449,0.11346912606755347,6,0.779874213836478,0.8176100628930818,0.7662337662337663,0.7922077922077922,0.825,0.7961851670342236,0.022218343214772444,stable_match,Post-patch stability,logistic_regression,Logistic Regression,"{""model__C"": 10, ""model__penalty"": ""l1""}",,,
0.007981014251708985,0.0002077701795706921,0.010282802581787109,0.0001076757431096157,10.0,l2,"{'model__C': 10, 'model__penalty': 'l2'}",0.5513784461152882,0.6466165413533835,0.6078947368421053,0.5105263157894737,0.5184210526315789,0.5669674185463659,0.05254406138130454,7,0.8572124756335283,0.8744314489928525,0.8504492939666238,0.8758023106546855,0.9064505776636713,0.8728692213822722,0.019424406761851032,0.475,0.625,0.5384615384615384,0.48717948717948717,0.5384615384615384,0.5328205128205128,0.05289048141514787,7,0.7579617834394905,0.802547770700637,0.7658227848101266,0.810126582278481,0.8227848101265823,0.7918487462710634,0.02542150813640285,0.47744360902255634,0.6278195488721805,0.5394736842105263,0.48684210526315785,0.5355263157894736,0.5334210526315789,0.05339515915405211,7,0.7589343729694606,0.8037686809616633,0.7657252888318358,0.8108151476251605,0.8244544287548139,0.7927395838285868,0.02579442883349404,0.4878048780487805,0.6341463414634146,0.55,0.47368421052631576,0.47058823529411764,0.5232447330665257,0.062449894362587105,7,0.759493670886076,0.8050314465408805,0.7581699346405228,0.8076923076923077,0.825,0.7910774719519574,0.027210095862932923,stable_match,Post-patch stability,logistic_regression,Logistic Regression,"{""model__C"": 10, ""model__penalty"": ""l2""}",,,
0.31807651519775393,0.3351539855095282,0.011141824722290038,0.0007430179267431513,100.0,l1,"{'model__C': 100, 'model__penalty': 'l1'}",0.5062656641604011,0.6791979949874687,0.6210526315789473,0.481578947368421,0.5368421052631578,0.5649874686716791,0.07400640518982493,8,0.8968486029889539,0.8884015594541911,0.8639281129653402,0.8948973042362003,0.9152759948652118,0.8918703149019794,0.016580535483947088,0.5,0.7,0.5128205128205128,0.41025641025641024,0.5641025641025641,0.5374358974358975,0.09520523524409238,6,0.7898089171974523,0.802547770700637,0.7848101265822784,0.8291139240506329,0.8291139240506329,0.8070789325163267,0.01889849876617884,0.5037593984962406,0.6992481203007519,0.513157894736842,0.4105263157894737,0.5605263157894737,0.5374436090225563,0.09438848711619865,6,0.7906107862248213,0.8037686809616633,0.7844993581514763,0.8291078305519897,0.8300706033376124,0.8076114518455124,0.018997190201561896,0.5238095238095238,0.6842105263157895,0.5128205128205128,0.41025641025641024,0.48484848484848486,0.5231890916101443,0.0897324773328937,8,0.7898089171974523,0.8050314465408805,0.7763157894736842,0.8235294117647058,0.8280254777070064,0.804542208536746,0.019626603261795092,stable_match,Post-patch stability,logistic_regression,Logistic Regression,"{""model__C"": 100, ""model__penalty"": ""l1""}",,,
0.009382486343383789,0.00036729379957338616,0.011603498458862304,0.00044443153474494913,100.0,l2,"{'model__C': 100, 'model__penalty': 'l2'}",0.531328320802005,0.6842105263157895,0.618421052631579,0.47105263157894733,0.5157894736842105,0.5641604010025063,0.07673721356669294,9,0.8726445743989604,0.8871020142949968,0.8591142490372272,0.8936136071887035,0.9130295250320924,0.8851007939903962,0.01836815077229807,0.5,0.725,0.5384615384615384,0.38461538461538464,0.5128205128205128,0.5321794871794872,0.1099133003613221,8,0.7579617834394905,0.8089171974522293,0.7658227848101266,0.8164556962025317,0.8227848101265823,0.7943884544061921,0.027008518620549166,0.5012531328320802,0.7255639097744361,0.5394736842105263,0.38552631578947366,0.5092105263157894,0.5322055137844611,0.10994717100582144,8,0.7585282651072125,0.8099415204678362,0.764762516046213,0.8164313222079589,0.8244544287548139,0.7948236105168069,0.027547962880913424,0.5,0.717948717948718,0.55,0.4,0.42424242424242425,0.5184382284382285,0.11317332954406983,9,0.7564102564102564,0.810126582278481,0.7516778523489933,0.8104575163398693,0.825,0.79073444147552,0.030472118871565007,stable_match,Post-patch stability,logistic_regression,Logistic Regression,"{""model__C"": 100, ""model__penalty"": ""l2""}",,,
