game_id,date,league_name,series_name,tournament_name,player_name,team_name,team_acronym,role,champion_name,primary_tag,tags,win,game_length,player_kills,player_deaths,player_assists,total_minions_killed,gold_earned,total_damage_dealt_to_champions,team_kills,kda,cs_per_min,dmg_per_min,gold_per_min,kp,performance_index,player_prev_mean_performance_index,player_last5_mean_performance_index,player_prev_mean_win,player_last5_mean_win,player_prev_mean_kda,player_last5_mean_kda,player_prev_mean_cs_per_min,player_last5_mean_cs_per_min,player_prev_mean_dmg_per_min,player_last5_mean_dmg_per_min,player_prev_mean_gold_per_min,player_last5_mean_gold_per_min,player_prev_mean_kp,player_last5_mean_kp,player_champ_prev_games,player_champ_prev_mean_perf,player_prev_unique_champs,patch,patch_date,days_since_patch,pre_perf_mean_window,pre_perf_std_window,pre_winrate_window,pre_diversity_unique_window,pre_diversity_entropy_window,champ_used_pre_window,pre_champ_games_window,new_champion_for_player_patch,delta_from_pre_mean,abs_delta_from_pre_mean,stable_match,high_performance_match
30474,2024-03-06 11:04:04.071462,LCK,LCK Spring 2024,Regular Season,Chovy,Gen.G,GEN,Mid,Taliyah,Mage,"Mage, Support",True,1804,2,0,7,311,13057,25214,12,9.0,10.343680709534368,838.6031042128603,434.2682926829268,0.75,0.5444219700150499,0.41453703786107954,0.6732080309036655,0.8461538461538461,1.0,7.978205128205128,10.7,10.044828829013152,10.449762936033007,740.353148362347,710.3083473390227,480.4213152381414,483.2158490836525,0.6901621722790453,0.7610047846889952,2,0.5517588920768377,12.0,14.5,2024-03-06,0,0.43860803440595797,0.5593242305780383,0.8333333333333334,6,1.947338796187554,0,0,1,0.10581393560909191,0.10581393560909191,1,1
30475,2024-03-06 11:55:10.627304,LCK,LCK Spring 2024,Regular Season,Chovy,Gen.G,GEN,Mid,Ahri,Mage,"Mage, Assassin",True,1687,3,2,8,264,12422,21262,13,5.5,9.389448725548313,756.2062833432128,441.8020154119739,0.8461538461538461,0.3262037516503213,0.4193475909038192,0.704262274236149,0.8518518518518519,1.0,8.01604938271605,11.6,10.055897417180605,10.410870455822792,743.9920356160698,752.2312153726059,478.71194403239275,479.25697065985935,0.6923783881205622,0.7473684210526316,0,,12.0,14.5,2024-03-06,0,0.43860803440595797,0.5593242305780383,0.8333333333333334,6,1.947338796187554,0,0,1,-0.11240428275563669,0.11240428275563669,1,1
30476,2024-03-07 07:59:24.589000,LCK,LCK Spring 2024,Regular Season,Faker,T1,T1,Mid,Taliyah,Mage,"Mage, Support",True,1749,4,3,11,259,13702,14669,25,5.0,8.88507718696398,503.22469982847343,470.0514579759863,0.6,-0.0965818532311082,0.10930494393371006,0.36815804020311316,0.8518518518518519,1.0,7.506172839506172,10.7,9.146234584800812,9.998205996163678,657.4605036852449,633.9332073499571,446.3505979256833,456.81699439454286,0.6972583349924028,0.6463915915002871,3,0.5953315473835677,7.0,14.5,2024-03-06,1,0.3078822738895192,0.2680313241834716,0.9230769230769231,6,2.345851989338261,1,2,0,-0.4044641271206274,0.4044641271206274,0,0
30477,2024-03-07 08:49:36.125000,LCK,LCK Spring 2024,Regular Season,Faker,T1,T1,Mid,Taliyah,Mage,"Mage, Support",True,1502,6,1,12,241,12120,25265,34,18.0,9.6271637816245,1009.2543275632488,484.15446071904125,0.5294117647058824,0.800120918691309,0.10195184403496656,0.3524545041662916,0.8571428571428571,1.0,7.416666666666666,9.5,9.136907534878068,10.071633290030732,651.9520821189316,633.2801753967751,447.1970572131941,467.1268179710194,0.6937848230283883,0.6288915915002872,4,0.4223531972298988,7.0,14.5,2024-03-06,1,0.3078822738895192,0.2680313241834716,0.9230769230769231,6,2.345851989338261,1,2,0,0.49223864480178975,0.49223864480178975,0,1
30478,2024-03-07 09:55:37.252007,LCK,LCK Spring 2024,Regular Season,Bdd,KT Rolster,KT,Mid,Orianna,Mage,"Mage, Support",True,2536,1,1,14,363,16989,26673,17,15.0,8.588328075709779,631.0646687697161,401.9479495268139,0.8823529411764706,0.3470112444653619,-0.3103327752658941,-0.4967497952769124,0.5172413793103449,0.2,5.18448275862069,4.016666666666667,8.895925428562178,9.135496203881381,559.0645424594247,572.6960374249288,404.72555265052154,415.24385850678163,0.7027258837879843,0.5777777777777777,8,-0.4326938228666213,8.0,14.5,2024-03-06,1,-0.4503992170086679,0.5667166858653938,0.38461538461538464,5,2.1039099102823644,1,3,0,0.7974104614740298,0.7974104614740298,0,1
30479,2024-03-07 10:58:58.437908,LCK,LCK Spring 2024,Regular Season,Bdd,KT Rolster,KT,Mid,Orianna,Mage,"Mage, Support",True,2174,2,0,9,290,14398,18138,16,11.0,8.003679852805888,500.5887764489421,397.3689052437903,0.6875,-0.1628522158969524,-0.2884213079415189,-0.09320392025985354,0.5333333333333333,0.4,5.511666666666667,7.016666666666666,8.885672183467097,9.0667981826597,561.4645466697677,638.4248802697812,404.6329658797313,427.894812048508,0.7087134523676005,0.7542483660130719,9,-0.34605992649640094,8.0,14.5,2024-03-06,1,-0.4503992170086679,0.5667166858653938,0.38461538461538464,5,2.1039099102823644,1,3,0,0.2875470011117155,0.2875470011117155,1,0
31459,2024-03-08 09:12:48.643000,LPL,LPL Spring 2024,Regular Season,knight,Bilibili Gaming,BLG,Mid,Ahri,Mage,"Mage, Assassin",True,1706,7,1,8,284,15114,20164,24,15.0,9.988276670574445,709.1676436107855,531.5592028135991,0.625,0.7582816964371991,-0.08967593035001944,0.06341066791373806,0.8571428571428571,1.0,6.905952380952381,7.6066666666666665,8.407370264023,8.366977190855513,676.4025357168447,674.2570048480977,426.16457160561293,430.2107656311655,0.6733361331611672,0.7571009079960487,2,0.8817061045892479,11.0,14.5,2024-03-06,2,-0.3277670264434762,0.5866306395289437,0.7272727272727273,7,2.7321588913645707,1,1,0,1.0860487228806752,1.0860487228806752,0,1
30482,2024-03-08 09:50:31.639459,LCK,LCK Spring 2024,Regular Season,ShowMaker,Dplus KIA,DK,Mid,Taliyah,Mage,"Mage, Support",True,2434,4,5,7,328,15106,19730,18,2.2,8.08545603944125,486.3599013968776,372.3746918652424,0.6111111111111112,-0.595009900664278,-0.09237866757840277,-0.32287611600318256,0.5925925925925926,0.8,6.911728395061728,5.4399999999999995,8.772814207503538,8.255213075766395,655.7008636356512,561.8531584245876,415.68723201508374,386.42347205764486,0.7593792390289975,0.7354761904761904,0,,10.0,14.5,2024-03-06,2,0.01639966041193134,0.7683210298765301,0.7692307692307693,3,1.2957378005380122,0,0,1,-0.6114095610762093,0.6114095610762093,1,0
31460,2024-03-08 09:59:21.971296,LPL,LPL Spring 2024,Regular Season,knight,Bilibili Gaming,BLG,Mid,Karma,Mage,"Mage, Support",True,1533,2,1,18,207,11428,23619,23,20.0,8.101761252446185,924.422700587084,447.27984344422697,0.8695652173913043,0.7694534151967538,-0.06043601218494294,0.20857639566179653,0.8620689655172413,1.0,7.1850574712643684,9.966666666666665,8.461884278042016,8.576933208341702,677.5323670235323,672.0522647775441,429.7988692334746,440.4515355788511,0.6716693699487132,0.7635823894775301,4,-0.5457084015407437,11.0,14.5,2024-03-06,2,-0.3277670264434762,0.5866306395289437,0.7272727272727273,7,2.7321588913645707,1,2,0,1.09722044164023,1.09722044164023,0,1
30483,2024-03-08 10:54:40.765964,LCK,LCK Spring 2024,Regular Season,ShowMaker,Dplus KIA,DK,Mid,Aurelion Sol,Mage,Mage,True,1982,8,0,4,314,15678,34158,13,12.0,9.505549949545914,1034.0464177598385,474.6115035317861,0.9230769230769232,0.927433090521101,-0.11032978304575546,-0.6310062876443948,0.6071428571428571,0.8,6.743452380952381,3.6799999999999997,8.748265701501312,7.507702513743139,649.6529721271236,568.9729263145825,414.14035558116086,362.7957555634367,0.7540839487462158,0.6576984126984127,0,,11.0,14.5,2024-03-06,2,0.01639966041193134,0.7683210298765301,0.7692307692307693,3,1.2957378005380122,0,0,1,0.9110334301091697,0.9110334301091697,0,1
