feature,importance_mean,importance_std,target,target_label,best_model
cat__champion_name_Yasuo,0.0005224728062065139,0.0,stable_match,Post-patch stability,random_forest
cat__champion_name_Annie,0.000376873201856734,0.0,stable_match,Post-patch stability,random_forest
cat__champion_name_Lucian,0.0003648863051061309,0.0,stable_match,Post-patch stability,random_forest
cat__champion_name_Twisted Fate,0.0002009185662903298,0.0,stable_match,Post-patch stability,random_forest
cat__champion_name_Syndra,0.00014697755980904616,0.0,stable_match,Post-patch stability,random_forest
cat__champion_name_Ezreal,0.00013701231056785618,0.0,stable_match,Post-patch stability,random_forest
cat__champion_name_Hwei,6.610532430552253e-05,0.0,stable_match,Post-patch stability,random_forest
cat__champion_name_Ziggs,3.4551299339062836e-05,0.0,stable_match,Post-patch stability,random_forest
cat__champion_name_Veigar,1.9080628993653766e-05,0.0,stable_match,Post-patch stability,random_forest
cat__champion_name_Sylas,0.0,0.0,stable_match,Post-patch stability,random_forest
cat__champion_name_Kassadin,0.0,0.0,stable_match,Post-patch stability,random_forest
cat__champion_name_Akali,0.0,0.0,stable_match,Post-patch stability,random_forest
cat__champion_name_Aurelion Sol,0.0,0.0,stable_match,Post-patch stability,random_forest
cat__champion_name_Caitlyn,0.0,0.0,stable_match,Post-patch stability,random_forest
cat__champion_name_Garen,0.0,0.0,stable_match,Post-patch stability,random_forest
cat__champion_name_Neeko,1.2906288766979814,0.0,high_performance_match,High-performance post-patch match,logistic_regression
num__pre_winrate_window,0.9607111338752503,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__champion_name_Syndra,0.9290989061187306,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__team_name_T1,0.8733143215287064,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__player_name_Faker,0.8733143215287064,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__champion_name_Zeri,0.8561854200961432,0.0,high_performance_match,High-performance post-patch match,logistic_regression
num__pre_perf_mean_window,0.8328865950409469,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__champion_name_Aurelion Sol,0.798974950068083,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__champion_name_Twisted Fate,0.7743043426985566,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__league_name_LPL,0.7593302849396141,0.0,high_performance_match,High-performance post-patch match,logistic_regression
num__player_last5_mean_gold_per_min,0.7397223185368493,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__champion_name_Yasuo,0.7272074505636751,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__champion_name_Tristana,0.7220184283605331,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__league_name_Esports World Cup,0.6137783035721827,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__champion_name_Smolder,0.6047143487445037,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__champion_name_Karma,0.5905765734514216,0.0,high_performance_match,High-performance post-patch match,logistic_regression
num__player_prev_unique_champs,0.5676266042332493,0.0,high_performance_match,High-performance post-patch match,logistic_regression
num__pre_diversity_entropy_window,0.5628363433892424,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__player_name_Chovy,0.43568488443743386,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__team_name_Gen.G,0.43568488443743386,0.0,high_performance_match,High-performance post-patch match,logistic_regression
num__player_prev_mean_kp,0.4334843765631611,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__champion_name_Yone,0.4113542949146276,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__champion_name_Orianna,0.3835269040913718,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__champion_name_Annie,0.3767874116716965,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__league_name_LCK,0.33985116291309037,0.0,high_performance_match,High-performance post-patch match,logistic_regression
num__player_champ_prev_mean_perf,0.33759208144022357,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__primary_tag_Marksman,0.33417462608656257,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__primary_tag_Fighter,0.3264734675717989,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__team_name_Bilibili Gaming,0.31438985517452034,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__player_name_knight,0.31438985517452034,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__champion_name_Veigar,0.31307220972747174,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__champion_name_Ahri,0.3127323829748652,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__player_name_ShowMaker,0.3007749300442577,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__team_name_Dplus KIA,0.3007749300442577,0.0,high_performance_match,High-performance post-patch match,logistic_regression
num__player_last5_mean_win,0.2725731801862626,0.0,high_performance_match,High-performance post-patch match,logistic_regression
num__player_last5_mean_cs_per_min,0.24887462799296567,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__champion_name_Taliyah,0.24555293447644197,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__patch_14.13,0.24451309898471793,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__champion_name_Garen,0.23600069196437312,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__primary_tag_Assassin,0.23476686178792008,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__primary_tag_Mage,0.23373436150670243,0.0,high_performance_match,High-performance post-patch match,logistic_regression
num__player_prev_mean_cs_per_min,0.21893189008031616,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__champion_name_Hwei,0.2165123059572096,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__champion_name_Kassadin,0.20561932049048945,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__league_name_LEC,0.20096783977920568,0.0,high_performance_match,High-performance post-patch match,logistic_regression
cat__patch_14.16,0.1980232442353185,0.0,high_performance_match,High-performance post-patch match,logistic_regression
num__days_since_patch,0.1961148273676429,0.0,high_performance_match,High-performance post-patch match,logistic_regression
